sample_idx,t,actual_x,actual_y,pred_x,pred_y,band_lower_x,band_upper_x,band_lower_y,band_upper_y,method,heteroskedasticity
186,15,-0.23170189476397735,0.028405181112051595,-0.2176961898803711,0.028014300391077995,-0.37818414415519674,-0.057208235605545416,-0.13247365388374768,0.18850225466590367,CAFHT,easy
186,16,-0.23481365182756686,-0.049546088163484034,-0.19743764400482178,-0.005198360420763493,-0.35767681556976005,-0.0371984724398835,-0.16543753198570177,0.15504081114417478,CAFHT,easy
186,17,-0.20575149668141465,-0.005986183553300501,-0.1773330420255661,-0.022001301869750023,-0.33731850980561473,-0.017347574245517458,-0.18198676964979868,0.13798416591029863,CAFHT,easy
186,18,-0.21316786278930022,-0.009642638275123527,-0.16140079498291016,-0.03339119255542755,-0.3211276379030669,-0.0016739520627533921,-0.19311803547558432,0.1263356503647292,CAFHT,easy
186,19,-0.18495297805642633,-0.06583072100313479,,,-0.3211276379030669,-0.0016739520627533921,-0.19311803547558432,0.1263356503647292,CAFHT,easy
187,0,0.06896551724137931,-0.6426332288401253,0.07038075476884842,-0.6082247495651245,-0.10626958383030302,0.24703109336799986,-0.784875088164276,-0.43157441096597304,CAFHT,easy
187,1,0.0708852436393325,-0.6116947274281821,0.06901669502258301,-0.5870060324668884,-0.10763364357656843,0.24566703362173445,-0.7636563710660399,-0.41035569386773696,CAFHT,easy
187,2,0.0732602841147851,-0.5810070136868708,0.0727766752243042,-0.5641732215881348,-0.10387366337484724,0.24942701382345564,-0.7408235601872862,-0.3875228829889833,CAFHT,easy
187,3,0.07658687148389846,-0.5521842609434531,0.07077158242464066,-0.5394591689109802,-0.10587875617451079,0.2474219210237921,-0.7161095075101317,-0.36280883031182876,CAFHT,easy
187,4,0.06745873123212814,-0.5145597100445161,0.06740499287843704,-0.5100407004356384,-0.10720242171856151,0.2420124074754356,-0.684648115032637,-0.33543328583863985,CAFHT,easy
187,5,0.0673884510329945,-0.4928820159943813,0.06516414135694504,-0.4850066304206848,-0.10362982501679202,0.2339581077306821,-0.6538005967944219,-0.3162126640469477,CAFHT,easy
187,6,0.07863463276968465,-0.46640727683004785,0.06589879840612411,-0.45873063802719116,-0.09693474679455613,0.22873234360680436,-0.6215641832278713,-0.29589709282651094,CAFHT,easy
187,7,0.08194441272976427,-0.4260519734960391,0.06721755862236023,-0.4279947280883789,-0.089508592455468,0.22394370970018845,-0.5847208791662072,-0.2712685770105506,CAFHT,easy
187,8,0.05901175682539194,-0.40801140002424424,0.06411202251911163,-0.4008975028991699,-0.08635976148606964,0.2145838065242929,-0.5513692869043513,-0.25042571889398857,CAFHT,easy
187,9,0.07940318123696674,-0.35055271185139253,0.06355709582567215,-0.36380502581596375,-0.08051334815706675,0.20762753980841103,-0.5078754697987027,-0.21973458183322486,CAFHT,easy
187,10,0.10313072287334574,-0.328166800869313,0.06785374134778976,-0.32958611845970154,-0.0696683896627117,0.20537587235829122,-0.467108249470203,-0.19206398744920009,CAFHT,easy
187,11,0.0837311308099349,-0.3224974683009745,0.07117395848035812,-0.3011120557785034,-0.05965288660811084,0.2020008035688271,-0.4319389008669724,-0.17028521069003444,CAFHT,easy
187,12,0.07057249274887069,-0.2710076446512187,0.07118842005729675,-0.26703736186027527,-0.052796166159344314,0.19517300627393783,-0.3910219480769163,-0.1430527756436342,CAFHT,easy
187,13,0.08099097742944185,-0.21530706503975924,0.07081214338541031,-0.2268940508365631,-0.04618321100960779,0.18780749778042843,-0.34388940523158124,-0.10989869644154499,CAFHT,easy
187,14,0.08679568201927479,-0.20837833597209815,0.07171788811683655,-0.19211682677268982,-0.03814126150676351,0.1815770377404366,-0.30197597639628987,-0.08225767714908976,CAFHT,easy
187,15,0.13533337863403835,-0.18152101920831334,0.08086125552654266,-0.15862220525741577,-0.048778386109999114,0.21050089716308445,-0.28826184689395756,-0.028982563620873994,CAFHT,easy
187,16,0.07974285448306048,-0.169784351522771,0.08562304079532623,-0.12957414984703064,-0.03876770149897787,0.21001378308963034,-0.2539648921413348,-0.005183407552726539,CAFHT,easy
187,17,0.06399845207334791,-0.14169514500912012,0.08364252746105194,-0.10111536085605621,-0.03918736479010012,0.206472419712204,-0.22394525310720828,0.021714531395095847,CAFHT,easy
187,18,0.11716888459161194,-0.06077156109136629,0.08618588745594025,-0.061255067586898804,-0.03513411690878067,0.20750589182066115,-0.1825750719516197,0.06006493677782211,CAFHT,easy
187,19,0.1065830721003135,-0.06269592476489029,,,-0.03513411690878067,0.20750589182066115,-0.1825750719516197,0.06006493677782211,CAFHT,easy
188,0,-0.2413793103448276,-0.3949843260188088,-0.22987626492977142,-0.38445326685905457,-0.3596585858965209,-0.10009394396302196,-0.514235587825804,-0.2546709458923051,CAFHT,easy
188,1,-0.22886846421279433,-0.3669006045753157,-0.21432870626449585,-0.34912917017936707,-0.3441110272312453,-0.08454638529774638,-0.47891149114611653,-0.21934684921261763,CAFHT,easy
188,2,-0.21260659037576032,-0.3452411621750716,-0.19930791854858398,-0.31946608424186707,-0.327678119038475,-0.07093771805869295,-0.44783628473175807,-0.19109588375197603,CAFHT,easy
188,3,-0.1936491790757776,-0.3162970762877583,-0.18604838848114014,-0.29412171244621277,-0.31200835322355003,-0.060088423738730225,-0.42008167718862266,-0.16816174770380288,CAFHT,easy
188,4,-0.1785397882999062,-0.28350832270961296,-0.17164139449596405,-0.26456424593925476,-0.29514526188697954,-0.04813752710494859,-0.38806811333027025,-0.14106037854823927,CAFHT,easy
188,5,-0.16382534195545154,-0.2689984635382284,-0.156901016831398,-0.2424328625202179,-0.2779029252671057,-0.035899108395690355,-0.3634347709559256,-0.12143095408451024,CAFHT,easy
188,6,-0.14013103916407765,-0.24320446424207012,-0.1398368775844574,-0.21754726767539978,-0.25829096546094393,-0.021382789707970848,-0.3360013555518863,-0.09909317979891323,CAFHT,easy
188,7,-0.12816514010411464,-0.22360881532257526,-0.12327940762042999,-0.19552889466285706,-0.23913981333378215,-0.007419001907077859,-0.3113893003762092,-0.0796684889495049,CAFHT,easy
188,8,-0.09121747691321294,-0.189501044286808,-0.10334259271621704,-0.17012342810630798,-0.21656345466252142,0.00987826923008732,-0.28334429005261236,-0.056902566160003616,CAFHT,easy
188,9,-0.09354380355244793,-0.14759294722410266,-0.08473116159439087,-0.14148244261741638,-0.19526661816973415,0.0258042949809524,-0.2520178991927597,-0.03094698604207311,CAFHT,easy
188,10,-0.060416362737742244,-0.1504949883112873,-0.06496918201446533,-0.11951766163110733,-0.17139115931941892,0.041452795290488245,-0.22593963893606092,-0.013095684326153746,CAFHT,easy
188,11,-0.06420979874798982,-0.09642284148573704,-0.04649287834763527,-0.09037408977746964,-0.14674659775504315,0.053760841059772614,-0.19062780918487754,0.009879629629938255,CAFHT,easy
188,12,-0.038357686766322195,-0.0906541739497037,-0.028148667886853218,-0.0659242570400238,-0.12213226655799307,0.06583493078428664,-0.15990785571116367,0.02805934163111605,CAFHT,easy
188,13,-0.005555758532190942,-0.0705136295872244,-0.007280610501766205,-0.042208969593048096,-0.09489222559791559,0.08033100459438318,-0.1298205846891975,0.04540264550310129,CAFHT,easy
188,14,0.002702892029271033,-0.0347765109146589,0.014354534447193146,-0.016412541270256042,-0.06678323423524336,0.09549230312962965,-0.09755030995269255,0.06472522741218047,CAFHT,easy
188,15,-0.006188948958768239,-0.013818938646813574,0.03286059945821762,0.009709170088171959,-0.04170145997178366,0.10742265888821889,-0.06485288934182931,0.08427122951817323,CAFHT,easy
188,16,0.02798639273058515,0.024782907350052077,0.05108119547367096,0.038653403520584106,-0.01680329186517243,0.11896568281251435,-0.029231083818259285,0.1065378908594275,CAFHT,easy
188,17,0.03968186854548131,0.052678617076451106,0.06937142461538315,0.06901675462722778,0.006874210813583095,0.13186863841718321,0.00651954082542773,0.13151396842902785,CAFHT,easy
188,18,0.11007920172429762,0.09668399068342322,0.09444575011730194,0.10245106369256973,0.01308136353949764,0.17581013669510626,0.02108667711476543,0.18381545027037405,CAFHT,easy
188,19,0.06896551724137931,0.1128526645768025,,,0.01308136353949764,0.17581013669510626,0.02108667711476543,0.18381545027037405,CAFHT,easy
189,0,0.6238244514106583,-0.5391849529780565,0.588305652141571,-0.49538272619247437,0.49521429397384475,0.6813970103092973,-0.5884740843602007,-0.40229136802474813,CAFHT,easy
