domain,experiment_id,file_path,method,shift_condition,dgp_or_dataset,n_train,n_cal,n_test,T,alpha,n_seeds,seed,overall_coverage,coverage_std_pooled,coverage_se,mean_width,width_std_pooled,early_coverage_mean,late_coverage_mean,coverage_degradation,time_resolved_metrics,aci_stepsize,covariate_mode,with_shift,mixed,notes
finance,tech_LRonly_20240603_20240731,results/finance/json/finance_tech_LRonly_20240603_20240731.json,"AdaptedCAFHT (LR only, γ=0)",shift_LRonly,S&P 500 Technology · 2024-06-04→2024-07-31,199,198,72,41,0.1,1,42,0.8538194444444445,,,0.04576558256328449,,,,,coverage_by_time;width_by_time;gamma_opt_history;clf_prob1_mean_by_time;clf_prob1_std_by_time;dates,,,True,False,
finance,tech_LRonly_20240701_20240830,results/finance/json/finance_tech_LRonly_20240701_20240830.json,"AdaptedCAFHT (LR only, γ=0)",shift_LRonly,S&P 500 Technology · 2024-07-02→2024-08-30,199,198,72,44,0.1,1,42,0.8401162790697675,,,0.04895319331090568,,,,,coverage_by_time;width_by_time;gamma_opt_history;clf_prob1_mean_by_time;clf_prob1_std_by_time;dates,,,True,False,
finance,tech_LRonly_20240801_20240930,results/finance/json/finance_tech_LRonly_20240801_20240930.json,"AdaptedCAFHT (LR only, γ=0)",shift_LRonly,S&P 500 Technology · 2024-08-02→2024-09-30,199,198,72,42,0.1,1,42,0.9058265582655827,,,0.054558868948591126,,,,,coverage_by_time;width_by_time;gamma_opt_history;clf_prob1_mean_by_time;clf_prob1_std_by_time;dates,,,True,False,
finance,tech_LRonly_20240903_20241031,results/finance/json/finance_tech_LRonly_20240903_20241031.json,"AdaptedCAFHT (LR only, γ=0)",shift_LRonly,S&P 500 Technology · 2024-09-04→2024-10-31,199,198,72,43,0.1,1,42,0.8756613756613757,,,0.04373312320705248,,,,,coverage_by_time;width_by_time;gamma_opt_history;clf_prob1_mean_by_time;clf_prob1_std_by_time;dates,,,True,False,
finance,tech_LRonly_20241001_20241129,results/finance/json/finance_tech_LRonly_20241001_20241129.json,"AdaptedCAFHT (LR only, γ=0)",shift_LRonly,S&P 500 Technology · 2024-10-02→2024-11-29,199,198,72,43,0.1,1,42,0.8564814814814815,,,0.04237315289242066,,,,,coverage_by_time;width_by_time;gamma_opt_history;clf_prob1_mean_by_time;clf_prob1_std_by_time;dates,,,True,False,
finance,tech_LRonly_20241101_20241231,results/finance/json/finance_tech_LRonly_20241101_20241231.json,"AdaptedCAFHT (LR only, γ=0)",shift_LRonly,S&P 500 Technology · 2024-11-04→2024-12-31,199,198,72,41,0.1,1,42,0.8840277777777777,,,0.05132909480482978,,,,,coverage_by_time;width_by_time;gamma_opt_history;clf_prob1_mean_by_time;clf_prob1_std_by_time;dates,,,True,False,
finance,tech_LRonly_20241202_20250131,results/finance/json/finance_tech_LRonly_20241202_20250131.json,"AdaptedCAFHT (LR only, γ=0)",shift_LRonly,S&P 500 Technology · 2024-12-03→2025-01-31,199,198,72,41,0.1,1,42,0.8628472222222222,,,0.04776832504203425,,,,,coverage_by_time;width_by_time;gamma_opt_history;clf_prob1_mean_by_time;clf_prob1_std_by_time;dates,,,True,False,
finance,tech_LRonly_20250102_20250228,results/finance/json/finance_tech_LRonly_20250102_20250228.json,"AdaptedCAFHT (LR only, γ=0)",shift_LRonly,S&P 500 Technology · 2025-01-03→2025-02-28,199,198,72,39,0.1,1,42,0.8640350877192983,,,0.04985641822854091,,,,,coverage_by_time;width_by_time;gamma_opt_history;clf_prob1_mean_by_time;clf_prob1_std_by_time;dates,,,True,False,
finance,tech_noshift_20240102_20240229,results/finance/json/finance_tech_noshift_20240102_20240229.json,AdaptedCAFHT (uniform weights + ACI),no_shift_unweighted,S&P 500 Technology · 2024-01-03→2024-02-29,200,199,72,41,0.1,1,42,0.9121527777777778,,,0.047504649102444375,,,,,coverage_by_time;width_by_time;gamma_opt_history;clf_prob1_mean_by_time;clf_prob1_std_by_time;dates,,,False,False,
finance,tech_noshift_20240201_20240328,results/finance/json/finance_tech_noshift_20240201_20240328.json,AdaptedCAFHT (uniform weights + ACI),no_shift_unweighted,S&P 500 Technology · 2024-02-02→2024-03-28,199,198,72,40,0.1,1,42,0.8753561253561254,,,0.0432222720859744,,,,,coverage_by_time;width_by_time;gamma_opt_history;clf_prob1_mean_by_time;clf_prob1_std_by_time;dates,,,False,False,
