--- Aggregate across windows ---
condition,n_windows,coverage_mean,coverage_std_across_windows,coverage_min,coverage_max,width_mean,width_std_across_windows,width_min,width_max
tech_shift (Weighted CAFHT: LR + ACI),13,0.8876347006262413,0.013323403304071717,0.8724160206718347,0.9146341463414634,0.05048844766361704,0.004733341502157049,0.04396297143798823,0.06138824104618548
tech_noshift (AdaptedCAFHT: uniform weights + ACI),13,0.8803353206257184,0.017104744764731665,0.8548611111111111,0.912940379403794,0.04933420006333717,0.004911073666437209,0.04182746913142837,0.060834065086980756
"tech_LRonly (AdaptedCAFHT: LR only, γ=0)",13,0.8720544250218979,0.01768289130100071,0.8401162790697675,0.9058265582655827,0.04654094649749301,0.0035334785786097053,0.04237315289242066,0.054558868948591126
util_shift (Weighted CAFHT: LR + ACI),13,0.9290329069153521,0.01957095300759335,0.8973684210526316,0.9780487804878049,0.044946237957714345,0.00421840422858217,0.04082098760021643,0.052807373642298774
util_noshift (AdaptedCAFHT: uniform weights + ACI),13,0.9301039298635696,0.01955759731355576,0.8964912280701754,0.9813008130081301,0.04529660171942658,0.004064912187832101,0.04088524571155203,0.05355566670078555
"util_LRonly (AdaptedCAFHT: LR only, γ=0)",13,0.9316053421080908,0.02351607833483529,0.8833333333333333,0.9788617886178862,0.04472270236512444,0.003673727472783436,0.041010530961453774,0.0535785116015776

"--- Tech per-window, three conditions ---"
window,shift_cov,shift_width,noshift_cov,noshift_width,lronly_cov,lronly_width,Δcov_shift_minus_noshift,Δwidth_shift_minus_noshift,Δcov_lronly_minus_noshift,Δwidth_lronly_minus_noshift,Δcov_shift_minus_lronly,Δwidth_shift_minus_lronly
20241101_20241231,0.8854166666666666,0.05176371098419589,0.8802083333333334,0.05067415228877311,0.8840277777777777,0.05132909480482978,0.005208333333333259,0.0010895586954227793,0.0038194444444443754,0.0006549425160566683,0.001388888888888884,0.000434616179366111
20241202_20250131,0.8763888888888889,0.05073441345986272,0.8663194444444444,0.04884694652287082,0.8628472222222222,0.04776832504203425,0.010069444444444464,0.001887466936991905,-0.00347222222222221,-0.0010786214808365668,0.013541666666666674,0.002966088417828472
20250102_20250228,0.875,0.05412050805840485,0.8680555555555556,0.05292049373833475,0.8640350877192983,0.04985641822854091,0.00694444444444442,0.0012000143200700947,-0.004020467836257313,-0.0030640755097938455,0.010964912280701733,0.00426408982986394

"--- Utilities per-window, three conditions ---"
window,shift_cov,shift_width,noshift_cov,noshift_width,lronly_cov,lronly_width,Δcov_shift_minus_noshift,Δwidth_shift_minus_noshift,Δcov_lronly_minus_noshift,Δwidth_lronly_minus_noshift,Δcov_shift_minus_lronly,Δwidth_shift_minus_lronly
20240102_20240229,0.9133333333333333,0.04155265492720277,0.9191666666666667,0.04245155883501674,0.9183333333333333,0.04172147426234311,-0.005833333333333357,-0.0008989039078139693,-0.0008333333333333526,-0.0007300845726736296,-0.0050000000000000044,-0.0001688193351403397
20240201_20240328,0.923931623931624,0.042965157286243005,0.9247863247863248,0.04297478213176307,0.9290598290598291,0.04232419696494224,-0.0008547008547008517,-9.62484552006343e-06,0.004273504273504258,-0.0006505851668208301,-0.00512820512820511,0.0006409603213007667
20240301_20240430,0.9211382113821138,0.04124167525683896,0.9292682926829269,0.043067459521365654,0.9243902439024391,0.04141262284494519,-0.008130081300813052,-0.0018257842645266961,-0.004878048780487809,-0.0016548366764204611,-0.003252032520325243,-0.000170947588106235
20240401_20240531,0.913953488372093,0.04129245479513203,0.9162790697674419,0.042089593204858944,0.9193798449612403,0.04187163485550112,-0.0023255813953488857,-0.0007971384097269149,0.0031007751937983663,-0.00021795834935782465,-0.005426356589147252,-0.0005791800603690903
20240501_20240628,0.9275,0.04082098760021643,0.925,0.04088524571155203,0.9266666666666666,0.041010530961453774,0.0024999999999999467,-6.4258111335605e-05,0.0016666666666665941,0.00012528524990174095,0.0008333333333333526,-0.00018954336123734594
20240603_20240731,0.9425,0.041719444185943755,0.9416666666666667,0.041970161723278235,0.9433333333333334,0.0424472691293603,0.0008333333333333526,-0.00025071753733448,0.0016666666666667052,0.0004771074060820682,-0.0008333333333333526,-0.0007278249434165482
20240701_20240830,0.9395348837209302,0.047237599483426325,0.9395348837209302,0.04767726790172794,0.9395348837209302,0.04770955492272218,0.0,-0.0004396684183016128,0.0,3.228702099423997e-05,0.0,-0.00047195543929585276
20240801_20240930,0.9780487804878049,0.052807373642298774,0.9813008130081301,0.05355566670078555,0.9788617886178862,0.0535785116015776,-0.003252032520325243,-0.000748293058486775,-0.0024390243902439046,2.284490079205309e-05,-0.0008130081300813385,-0.0007711379592788281
20240903_20241031,0.9476190476190476,0.0428722668283095,0.9444444444444444,0.04283309969429997,0.9642857142857143,0.043888141582567215,0.0031746031746031633,3.916713400952537e-05,0.019841269841269882,0.001055041888267244,-0.01666666666666672,-0.0010158747542577187
20241001_20241129,0.9166666666666666,0.0421335367911509,0.915079365079365,0.042348971146415684,0.9261904761904762,0.0428591754148418,0.0015873015873015817,-0.00021543435526478333,0.011111111111111183,0.0005102042684261149,-0.009523809523809601,-0.0007256386236908982
20241101_20241231,0.9383333333333334,0.0481572097481399,0.9391666666666667,0.04762975254702176,0.95,0.04977286179388852,-0.0008333333333333526,0.000527457201118138,0.01083333333333325,0.0021431092468667604,-0.011666666666666603,-0.0016156520457486223
20241202_20250131,0.9175,0.04925995327361056,0.9191666666666667,0.049388723873110815,0.9075,0.046352000771298765,-0.0016666666666667052,-0.00012877059950025527,-0.011666666666666714,-0.00303672310181205,0.010000000000000009,0.0029079525023117947
20250102_20250228,0.8973684210526316,0.052240779631773517,0.8964912280701754,0.05198353936134913,0.8833333333333333,0.04644715564117597,0.0008771929824561431,0.00025724027042438313,-0.013157894736842146,-0.005536383720173163,0.01403508771929829,0.005793623990597546

--- Healthcare (2 windows) ---
window,shift_cov,shift_width,noshift_cov,noshift_width,Δcov_shift_minus_noshift,Δwidth_shift_minus_noshift
20240201_20240328,0.9071618037135278,0.04401673071052622,0.9071618037135278,0.04396891449820301,0.0,4.7816212323206764e-05
20240701_20240830,0.9053728949478749,0.05049285822739991,0.9077786688051324,0.05076904331246934,-0.002405773857257487,-0.0002761850850694289
